treatment,vial,flip,pupae per female,experiment
29,1,5,6.2,standard
29,1,6,6.56,standard
29,1,7,5.38,standard
29,1,8,2.5,standard
29,1,9,1.33,standard
29,1,10,0,standard
29,1,11,0,standard
29,1,12,0,standard
29,1,13,0,standard
29,2,1,25.2,standard
29,2,2,18.6,standard
29,2,3,12,standard
29,2,4,10.6,standard
29,2,5,4.8,standard
29,2,6,4,standard
29,2,7,1.9,standard
29,2,8,1.4,standard
29,2,9,0.5,standard
29,2,10,0.29,standard
29,2,11,0,standard
29,2,12,0,standard
29,2,13,0,standard
29,3,1,21,standard
29,3,2,20.11,standard
29,3,3,11.89,standard
29,3,4,9.22,standard
29,3,5,8.22,standard
29,3,6,11.11,standard
29,3,7,11.44,standard
29,3,8,9.78,standard
29,3,9,4.22,standard
29,3,10,2.5,standard
29,3,11,1.75,standard
29,3,12,1.17,standard
29,3,13,0,standard
29,4,1,5.5,standard
29,4,2,16.6,standard
29,4,3,16.67,standard
29,4,4,11.67,standard
29,4,5,14.44,standard
29,4,6,14.33,standard
29,4,7,17.11,standard
29,4,8,14.67,standard
29,4,9,22.44,standard
29,4,10,12.33,standard
29,4,11,11.5,standard
29,4,12,8.25,standard
29,4,13,3.5,standard
29,5,1,9.2,standard
29,5,2,16.6,standard
29,5,3,19.67,standard
29,5,4,16.22,standard
29,5,5,15.56,standard
29,5,6,19.13,standard
29,5,7,25.86,standard
29,5,8,22,standard
29,5,9,32,standard
29,5,10,15.8,standard
29,5,11,14.4,standard
29,5,12,8.4,standard
29,5,13,3.5,standard
31,1,1,23.3,standard
31,1,2,26.2,standard
31,1,3,20.6,standard
31,1,4,16.6,standard
31,1,5,11.4,standard
31,1,6,7.1,standard
31,1,7,3.3,standard
31,1,8,2.33,standard
31,1,9,0.5,standard
31,1,10,0,standard
31,1,11,0,standard
31,1,12,0,standard
31,1,13,0,standard
31,2,1,16.7,standard
31,2,2,15.4,standard
31,2,3,10.4,standard
31,2,4,11.3,standard
31,2,5,8.1,standard
31,2,6,6.2,standard
31,2,7,4.7,standard
31,2,8,5.22,standard
31,2,9,2,standard
31,2,10,0.86,standard
31,2,11,0.14,standard
31,2,12,0,standard
31,2,13,0,standard
31,3,1,17,standard
31,3,2,19.8,standard
31,3,3,10.4,standard
31,3,4,12.9,standard
31,3,5,10.2,standard
31,3,6,9.2,standard
31,3,7,7.4,standard
31,3,8,9.1,standard
31,3,9,7.1,standard
31,3,10,3,standard
31,3,11,1.43,standard
31,3,12,0,standard
31,3,13,0,standard
31,4,1,6.2,standard
31,4,2,10.78,standard
31,4,3,20.13,standard
31,4,4,15.5,standard
31,4,5,20.63,standard
31,4,6,17,standard
31,4,7,23.57,standard
31,4,8,14.67,standard
31,4,9,18.5,standard
31,4,10,12.83,standard
31,4,11,12.17,standard
31,4,12,3.5,standard
31,4,13,7.5,standard
31,5,1,13.2,standard
31,5,2,16.9,standard
31,5,3,20,standard
31,5,4,12.7,standard
31,5,5,16.33,standard
31,5,6,17.25,standard
31,5,7,20.71,standard
31,5,8,5,standard
31,5,9,1.33,standard
31,5,10,0.17,standard
31,5,11,0,standard
31,5,12,0,standard
31,5,13,0,standard
32,1,1,20.4,standard
32,1,2,19.6,standard
32,1,3,16.9,standard
32,1,4,16.8,standard
32,1,5,12.4,standard
32,1,6,7,standard
32,1,7,6.44,standard
32,1,8,4.89,standard
32,1,9,1.78,standard
32,1,10,0.67,standard
32,1,11,0.75,standard
32,1,12,0.25,standard
32,1,13,0,standard
32,2,1,13.6,standard
32,2,2,17.6,standard
32,2,3,16.2,standard
32,2,4,15.5,standard
32,2,5,13.9,standard
32,2,6,12.1,standard
32,2,7,14.7,standard
32,2,8,11.33,standard
32,2,9,13.56,standard
32,2,10,4.11,standard
32,2,11,3.44,standard
32,2,12,0.78,standard
32,2,13,0.33,standard
32,3,1,12.9,standard
32,3,2,19.8,standard
32,3,3,14.4,standard
32,3,4,13.5,standard
32,3,5,11.7,standard
32,3,6,9.3,standard
32,3,7,8.7,standard
32,3,8,7.3,standard
32,3,9,4.1,standard
32,3,10,2.1,standard
32,3,11,1,standard
32,3,12,0.56,standard
32,3,13,0.11,standard
32,4,1,1.9,standard
32,4,2,8.9,standard
32,4,3,14.6,standard
32,4,4,8.5,standard
32,4,5,3.4,standard
32,4,6,8,standard
32,4,7,7.44,standard
32,4,8,6.5,standard
32,4,9,2.29,standard
32,4,10,2.57,standard
32,4,11,2.29,standard
32,4,12,1.14,standard
32,4,13,0.33,standard
